model_type,epochs,runtime_sec,error_alpha1,error_alpha1.5,error_alpha2
PINN,10,7.391829013824463,0.018554109938686975,0.013082349761965822,0.027139411726101115
PINN,20,14.369709968566895,0.0024103647956905685,0.0036461526880694974,0.003261518336486606
PINN,30,21.523816108703613,0.0006505110035037379,0.0003723231751982385,0.0010990142252323626
PINN,40,28.692999839782715,0.0017528229558910458,0.001168512041311036,0.0015973884723536934
PINN,50,35.91777300834656,0.0007899302931524059,0.00023430478843630058,0.0006294504389684132
PINN,60,43.25412082672119,0.0001556861384297098,4.5386608052833564e-05,0.0005772694491563058
PINN,70,50.50712299346924,0.00017272042750949405,0.00017168345903271546,0.0004718947029422177
PINN,80,57.899412870407104,0.00047661635184451605,0.00038753311204914765,0.0003775473001563074
PINN,90,65.34332180023193,7.237819116497063e-05,3.3278810159142107e-05,0.00015582387664080766
PINN,100,72.73666000366211,3.2354811893502714e-05,5.2672832559563086e-05,7.861815357057203e-05
NN,10,0.129133939743042,0.0004270604367950363,0.0006611050326444964,0.001009882339505235
NN,20,0.25780677795410156,0.00128882695168766,0.001375580801465882,0.0007382163882813881
NN,30,0.38559412956237793,0.0010517571196114197,0.0005211446942476624,0.0005515474300344654
NN,40,0.5272700786590576,0.00019735939986884908,0.0003397261883353799,0.00023370279972261896
NN,50,0.641575813293457,0.00018008547336315422,6.151815919831065e-05,0.00018215614870069468
NN,60,0.7710061073303223,0.0010042862624333627,0.0007076222225408982,0.0004993593309438238
NN,70,0.8984091281890869,0.00026273167729378165,0.0002350962742073622,0.00020234443100130957
NN,80,1.0246601104736328,0.00015747561043055817,0.00023787189275599347,0.0002017831893526321
NN,90,1.158949851989746,6.19238151302416e-05,8.68444544702618e-06,5.1064829836287784e-05
NN,100,1.2819170951843262,4.768389718177573e-05,2.1774399778409394e-05,9.27071711812481e-05
